station_id,longitude,latitude,station_desc,ELEVATION
TS212,-79.976,39.5851,LITTLE INDIAN CK CR-5 left pass 2nd bridge,0
TS213,-79.8568,39.5755,BOOTHS CK Boat launch ramp @ Offington locked gate left side of CR73,906
TS214,-79.6747,39.6488,DECKERS CK Rock forge beside Rt7 on rt @ gasline town of Dellslow,1360
TS215,-79.6082,39.6345,BIG SANDY CK CR-73 to CR 73/11 Goss Run,973
TS216,-79.7066,39.6475,LITTLE SANDY CK Brandonville Pike Rd CR-3,963
TS217,-79.6835,39.6566,LAUREL RUN CR-14 from Laurel Run Community take rural 4X4 path,973
TS218,-80.5082,39.6859,HAZEL RUN,1200
TS219,-80.4994,39.695,LONG DRAIN 2nd bridge up hollow on right across from old house,981
TS220,-80.2668,39.7167,FISH CK above town Hundred in curve @ fairgrounds below conf. Of Browns run,941
TS221,-80.7035,39.7633,WV FORK front of 906 Shamrock rd Parrish Fark on Dunkard Ck,1002
TS224,-80.6406,39.7636,LYNN CAMP RUN above low water bridge @ 1st white house in front of red barn,750
TS225,-80.7169,39.8501,FISH CK Cameron Ridge; CNR plant behind it,778
TS226,-80.7289,39.9127,GRAVE CK Moundsville Gun Range across low water bridge @ old landfill,834
TS227,-80.6099,39.9768,MIDDLE GRAVE CK left hand @ end of Wades Trailer park @ Moundsville,640
TS229,-80.6319,40.0463,BIG WHEELING beside CR-7 uphill gate on right follow to creek,750
TS230,-80.6334,40.0509,MIDDLE WHEELING above Wagner Add. Rd across from 2 story brick home,750
TS231,-80.6642,40.1861,LITTLE WHEELING Beside Rt 40 east near Tridelphia,750
TS232,-80.593,40.2421,SHORT CK Near Windsor Heights off Rt 2 Brooke County,670
TS233,-80.5756,40.3992,BUFFALO CK below the conf. Of Pierce Run Brooke County,650
TS234,-80.166,39.7047,HARMON CK below Weirton WV Brook CO.,784
TS235,-79.9905,39.6396,DUNKARD CK below Randolph run near Pentress,973
TS236,-80.0049,39.6602,DENTS RUN in Granville site across from Dunlaney oil Building,796
TS237,-81.5244,37.9634,SCOTTS RUN Osage across river from Starr City Morgantown under bridge,860
TS238,-81.4996,38.1927,CLEAR FK 0.9 miles up clear Fk Rd end guard rail,868
TS239,-80.256,38.9014,SLAUGHTERS CK downstream under I-64 bridge,643
